date,next_execution_date,train_start,train_end,momentum_lookback,risk_window,rebalance_period,switch_buffer,eligible_codes,annualized_return,annualized_volatility,sharpe,max_drawdown,calmar,annual_turnover,stable_neighbors,selected_cluster,selected_offense,selected_score,selected_etf_score,offense_excess_momentum,offense_qualified,target_512890,target_offense,defense_reason,signal_reason
2026-08-12,2026-08-13,2024-08-12,2026-08-11,240,60,M,0.0,"[""510300"", ""510500"", ""512100"", ""159915"", ""159949"", ""159967"", ""588000"", ""512480"", ""515880"", ""159928"", ""512690"", ""512800"", ""512880"", ""512010"", ""512170"", ""512660"", ""512400"", ""515220""]",0.871827245539039,0.2975634204688422,2.2572126154431227,-0.1354885002493189,6.434695519802402,9.4345945905814,2,科技主题,512480,0.8181818181818181,0.775,1.217802338966528,True,0.0,1.0,保持现金等待回撤,非月频观察日，沿用科技主题/512480；512890信号0%（保持现金等待回撤）
2026-08-13,2026-08-14,2024-08-13 00:00:00,2026-08-12 00:00:00,240,60,M,0.0,"[""510300"", ""510500"", ""512100"", ""159915"", ""159949"", ""159967"", ""588000"", ""512480"", ""515880"", ""159928"", ""512690"", ""512800"", ""512880"", ""512010"", ""512170"", ""512660"", ""512400"", ""515220""]",0.8676608200557219,0.2975926230700974,2.2495126338404354,-0.1354900497646943,6.403871144505363,9.41068111848976,2,科技主题,512480,0.8181818181818181,0.775,1.0538537957839929,True,0.0,1.0,保持现金等待回撤,非月频观察日，沿用科技主题/512480；512890信号0%（保持现金等待回撤）
2026-08-14,2026-08-17,2024-08-14 00:00:00,2026-08-13 00:00:00,240,60,M,0.0,"[""510300"", ""510500"", ""512100"", ""159915"", ""159949"", ""159967"", ""588000"", ""512480"", ""515880"", ""159928"", ""512690"", ""512800"", ""512880"", ""512010"", ""512170"", ""512660"", ""512400"", ""515220""]",0.8639756671800312,0.2975912652919845,2.2428670111842064,-0.1354837234451712,6.376970201366459,9.385433055271848,2,科技主题,512480,0.8181818181818181,0.775,0.8561658383246249,True,0.5,0.5,回撤达到第一级并半仓,非月频观察日，沿用科技主题/512480；512890信号50%（回撤达到第一级并半仓）
2026-08-17,2026-08-18,2024-08-17 00:00:00,2026-08-14 00:00:00,240,60,M,0.0,"[""510300"", ""510500"", ""512100"", ""159915"", ""159949"", ""159967"", ""588000"", ""512480"", ""515880"", ""159928"", ""512690"", ""512800"", ""512880"", ""512010"", ""512170"", ""512660"", ""512400"", ""515220""]",0.8467155386564238,0.2980690860380118,2.2084533274961013,-0.1354777161295199,6.249850992815255,9.387129420474112,2,科技主题,512480,0.8181818181818181,0.775,0.8085449635787959,True,0.5,0.5,维持第一级半仓,非月频观察日，沿用科技主题/512480；512890信号50%（维持第一级半仓）
2026-08-18,2026-08-19,2024-08-18 00:00:00,2026-08-17 00:00:00,240,60,M,0.0,"[""510300"", ""510500"", ""512100"", ""159915"", ""159949"", ""159967"", ""588000"", ""512480"", ""515880"", ""159928"", ""512690"", ""512800"", ""512880"", ""512010"", ""512170"", ""512660"", ""512400"", ""515220""]",0.8452046661456907,0.2977630325256981,2.2076632397649525,-0.1354777161295199,6.2386988081320665,9.3512904240184,2,科技主题,512480,0.8181818181818181,0.775,0.932979254569097,True,0.5,0.5,维持第一级半仓,非月频观察日，沿用科技主题/512480；512890信号50%（维持第一级半仓）
2026-08-19,2026-08-20,2024-08-19 00:00:00,2026-08-18 00:00:00,240,60,M,0.0,"[""510300"", ""510500"", ""512100"", ""159915"", ""159949"", ""159967"", ""588000"", ""512480"", ""515880"", ""159928"", ""512690"", ""512800"", ""512880"", ""512010"", ""512170"", ""512660"", ""512400"", ""515220""]",0.8470164994406268,0.2974578407615483,2.2129330585963576,-0.1354777161295199,6.252072470950562,9.315570800580934,2,科技主题,512480,0.8181818181818181,0.775,0.9562926007569188,True,0.5,0.5,维持第一级半仓,非月频观察日，沿用科技主题/512480；512890信号50%（维持第一级半仓）
2026-08-20,2026-08-21,2024-08-20 00:00:00,2026-08-19 00:00:00,240,60,M,0.0,"[""510300"", ""510500"", ""512100"", ""159915"", ""159949"", ""159967"", ""588000"", ""512480"", ""515880"", ""159928"", ""512690"", ""512800"", ""512880"", ""512010"", ""512170"", ""512660"", ""512400"", ""515220""]",0.8441902145493709,0.2974033746408032,2.208122106982584,-0.1354768945057626,6.231248639327665,9.295035201669906,2,科技主题,512480,0.8181818181818181,0.775,0.7162111774203009,True,0.5,0.5,维持第一级半仓,非月频观察日，沿用科技主题/512480；512890信号50%（维持第一级半仓）
